x, y, z, level
5.99997, 0.074594, 7, 0
3.99997, 0.0731865, 8, 0
4.99997, 0.0738903, 8, 0
2.99997, 0.0724828, 9, 0
3.99997, 0.0731865, 9, 0
1.99997, 0.0717791, 10, 0
2.99997, 0.0724828, 10, 0
0.999967, 0.081229, 0, 0
1.99997, 0.0820333, 0, 0
-3.23407e-05, 0.0804248, 1, 0
0.999967, 0.081229, 1, 0
9.99996, 0.0884672, 1, 0
-3.23407e-05, 0.0804248, 2, 0
0.999967, 0.081229, 2, 0
1.99997, 0.0820333, 2, 0
2.99997, 0.0828375, 2, 0
3.99997, 0.0836418, 2, 0
4.99997, 0.084446, 2, 0
5.99997, 0.0852502, 2, 0
6.99997, 0.0860545, 2, 0
7.99997, 0.0868587, 2, 0
8.99996, 0.087663, 2, 0
9.99996, 0.0884672, 2, 0
-3.23407e-05, 0.0804248, 3, 0
0.999967, 0.081229, 3, 0
1.99997, 0.0820333, 3, 0
2.99997, 0.0828375, 3, 0
3.99997, 0.0836418, 3, 0
4.99997, 0.084446, 3, 0
5.99997, 0.0852502, 3, 0
6.99997, 0.0860545, 3, 0
7.99997, 0.0868587, 3, 0
8.99996, 0.087663, 3, 0
6.99997, 0.0860545, 4, 0
7.99997, 0.0868587, 4, 0
5.99997, 0.0852502, 5, 0
6.99997, 0.0860545, 5, 0
4.99997, 0.084446, 6, 0
5.99997, 0.0852502, 6, 0
3.99997, 0.0836418, 7, 0
4.99997, 0.084446, 7, 0
2.99997, 0.0828375, 8, 0
3.99997, 0.0836418, 8, 0
1.99997, 0.0820333, 9, 0
2.99997, 0.0828375, 9, 0
0.999967, 0.081229, 10, 0
1.99997, 0.0820333, 10, 0
-4.09312e-05, 0.0904779, 0, 0
0.999959, 0.0913826, 0, 0
1.99996, 0.0922874, 0, 0
2.99996, 0.0931922, 0, 0
3.99996, 0.094097, 0, 0
4.99996, 0.0950017, 0, 0
5.99996, 0.0959065, 0, 0
6.99996, 0.0968113, 0, 0
7.99996, 0.0977161, 0, 0
8.99996, 0.0986209, 0, 0
9.99995, 0.0995256, 0, 0
-4.09312e-05, 0.0904779, 1, 0
0.999959, 0.0913826, 1, 0
1.99996, 0.0922874, 1, 0
2.99996, 0.0931922, 1, 0
3.99996, 0.094097, 1, 0
4.99996, 0.0950017, 1, 0
5.99996, 0.0959065, 1, 0
6.99996, 0.0968113, 1, 0
7.99996, 0.0977161, 1, 0
8.99996, 0.0986209, 1, 0
9.99995, 0.0995256, 1, 0
7.99996, 0.0977161, 2, 0
8.99996, 0.0986209, 2, 0
6.99996, 0.0968113, 3, 0
7.99996, 0.0977161, 3, 0
5.99996, 0.0959065, 4, 0
6.99996, 0.0968113, 4, 0
4.99996, 0.0950017, 5, 0
5.99996, 0.0959065, 5, 0
3.99996, 0.094097, 6, 0
4.99996, 0.0950017, 6, 0
2.99996, 0.0931922, 7, 0
3.99996, 0.094097, 7, 0
1.99996, 0.0922874, 8, 0
2.99996, 0.0931922, 8, 0
0.999959, 0.0913826, 9, 0
1.99996, 0.0922874, 9, 0
2.99996, 0.0931922, 9, 0
3.99996, 0.094097, 9, 0
4.99996, 0.0950017, 9, 0
